CAREER,INTEREST AREAS,REQUIRED SKILLS,DEGREES,CERTIFICATIONS,TOOLS/TECHNOLOGIES,PROJECT EXAMPLES,ENTRY LEVEL JOB TITLE,HIGHER OPPORTUNITIES,TOP COMPANIES,LEARNING RESOURCES,ROADMAP,FIELD
"Doula (Supports women before, during, and after childbirth)","doula, childbirth, support, healthcare, communication, pregnancy, labor, education, counseling, patient care, birth, mental health, emotional support, family, wellness","Maternal support, childbirth education, counseling",Training / Certification Doula Program,Certified Doula (CD(DONA)),"Patient care tools, birthing aids","Birth Plan Assistance, Postpartum Support","Assistant Doula, Trainee","Doula, Childbirth Educator","Hospitals, Maternity Clinics","DONA International, Coursera Doula Training",Certification/Doula Training --> Internship --> Doula --> Senior Doula --> Trainer,Healthcare
Drama Therapist (Uses acting to help people heal emotionally),"drama, therapy, psychology, counseling, mental health, arts, creativity, expression, communication, support, therapy, social work, behavior, education, development","Therapy, psychology, drama techniques",Master? Psychology / Counseling,Registered Drama Therapist,"Drama therapy tools, role-play scripts","Therapy Session, Group Workshop","Therapist Assistant, Intern","Drama Therapist, Counselor","Hospitals, Schools, Clinics","ADTA Resources, Coursera Drama Therapy",BA/Psychology/Counseling --> Internship --> Drama Therapist --> Senior Therapist --> Supervisor,Mental Health & Counseling
Drone Pilot (Operates drones for photography or inspections),"drone, pilot, technology, remote control, aviation, photography, surveillance, regulations, safety, operations, engineering, mapping, communication, UAV, navigation","Remote piloting, drone operation, aviation rules",Diploma / Certificate Drone Pilot Training,FAA Part 107 License (US),"Drone hardware, flight simulators","Basic Flight, Aerial Photography","Drone Operator Trainee, Intern","Drone Pilot, Aerial Surveyor","Film Studios, Survey Firms","Udemy Drone Training, FAA Resources",Pilot License/Drone Certification --> Training --> Drone Pilot --> Senior Pilot --> Fleet Manager,Aviation & Drones
Dry Cleaner (Cleans delicate clothing professionally),"dry, cleaning, laundry, service, maintenance, customer service, equipment, cleaning, fabric care, business, quality, management, operations, repair, textiles","Fabric care, stain removal, machine operation",Vocational Training / Apprenticeship,No formal certification,"Cleaning machines, detergents","Clothing Care, Stain Removal","Dry Cleaner Assistant, Trainee","Dry Cleaner, Shop Manager","Laundries, Dry Cleaning Shops","YouTube Textile Care, Local Training",Vocational Training --> Entry Role --> Dry Cleaner --> Senior Technician --> Owner,Cleaning Services
E-commerce Manager (Runs online store operations and sales),"e-commerce, management, online, sales, marketing, digital, business, communication, technology, customer service, operations, finance, logistics, strategy, retail","Online marketing, product management, logistics",Bachelor? Business / Marketing,No formal certification,"E-commerce platforms, analytics tools","Online Store Setup, Marketing Campaign","E-commerce Assistant, Intern","E-commerce Manager, Digital Marketing Lead","Retailers, Startups","Shopify Academy, Coursera E-commerce",BA/Business/Marketing --> Internship --> E-commerce Manager --> Senior Manager --> Director,E-commerce
Ecologist (Studies ecosystems and how living things interact),"ecology, environment, biology, conservation, research, nature, sustainability, science, fieldwork, ecosystems, earth science, biology, geography, analysis, policy","Ecology, environmental science, research",Bachelor? Environmental Science / Biology,No formal certification,"GIS, field equipment, data analysis","Ecosystem Survey, Environmental Report","Research Assistant, Field Technician","Ecologist, Environmental Consultant","Govt Agencies, NGOs","ESA Resources, Coursera Ecology",BSc/Environmental Science/Biology --> Internship --> Ecologist --> Senior Ecologist --> Project Lead,Environmental Science
Editorial Assistant (Supports editors with writing and publishing tasks),"editorial, assistant, publishing, communication, writing, editing, proofreading, organization, content, media, research, documentation, publishing, teamwork, publishing","Editing, proofreading, writing skills",Bachelor? English / Journalism,No formal certification,"Editing software, CMS","Article Editing, Content Review","Editorial Assistant, Intern","Junior Editor, Editor","Publishing Houses, Media Firms","Editorial Freelancers Association, Coursera Editing",BA/English/Communications --> Internship --> Editorial Assistant --> Editor --> Senior Editor,Publishing & Media
Education Consultant (Advises schools or families on education plans),"education, consultant, training, curriculum, teaching, planning, communication, leadership, schools, development, management, support, assessment, strategy, education","Curriculum development, educational theory, consulting",Bachelor? Education / Psychology,No formal certification,"Presentation software, LMS","Training Module, Education Report","Consultant Assistant, Intern","Education Consultant, Specialist","Schools, NGOs","ASCD Resources, Coursera Education Consulting",BA/Education --> Internship --> Education Consultant --> Senior Consultant --> Director,Education
Educational Psychologist (Helps students with learning challenges),"educational, psychology, counseling, learning, mental health, support, assessment, development, communication, education, therapy, children, behavior, research, psychology","Psychology, testing, counseling",Master? Educational Psychology,Licensed Psychologist,"Psychometric tools, assessment software","Student Assessment, Counseling Session","Psychologist Assistant, Intern","Educational Psychologist, Researcher","Schools, Therapy Centers","APA Resources, Coursera Educational Psychology",BA/Psychology/Education --> Licensing --> Educational Psychologist --> Senior Psychologist --> Consultant,Mental Health & Counseling
Elder Care Coordinator (Organizes care services for elderly people),"elder, care, coordination, healthcare, social work, support, communication, aging, management, nursing, therapy, community, family, planning, assistance","Aging care, healthcare management, counseling",Bachelor? Nursing / Social Work,No formal certification,"Care planning software, health monitoring tools","Care Plan, Family Support Assistant","Elder Care Assistant, Intern","Coordinator, Program Manager","Nursing Homes, NGOs","LeadingAge Resources, Coursera Elder Care",BA/Healthcare/Social Work --> Internship --> Elder Care Coordinator --> Senior Coordinator --> Manager,Elder Care
Electric Motor Repairer (Fixes and maintains electric motors),"electric, motor, repair, maintenance, engineering, mechanical, tools, troubleshooting, electrical, machines, technology, service, industrial, diagnostics, manual","Electric motor repair, diagnostics, maintenance",Vocational Training / Apprenticeship,Certified Motor Repair Technician,"Diagnostic tools, repair equipment","Motor Testing, Repair Log","Technician Assistant, Trainee","Motor Repair Technician, Supervisor","Manufacturing, Repair Shops","ASE Resources, YouTube Electric Repair",Vocational Training --> Apprenticeship --> Electric Motor Repairer --> Senior Technician --> Supervisor,Skilled Trades
Electrocardiograph Technician (Performs heart monitoring tests),"electrocardiograph, technician, medical, healthcare, diagnostics, patient care, cardiology, monitoring, biology, equipment, clinical, treatment, anatomy, technology, medicine","ECG operation, patient care, diagnostics",Diploma / Associate Degree Medical Tech,Certified ECG Technician (CET),"ECG machines, monitoring software","ECG Test Simulation, Patient Monitoring","Technician Assistant, Intern","Diagnostic Technician, Specialist","Hospitals, Clinics","ARDMS, Coursera Medical Imaging",Certification/Medical Technician --> Internship --> Electrocardiograph Technician --> Senior Technician --> Manager,Healthcare
Electronics Engineer (Designs electronic devices and systems),"electronics, engineering, design, circuits, technology, electrical, manufacturing, repair, troubleshooting, devices, innovation, hardware, programming, physics, systems","Circuit design, electronics, programming",Bachelor? Electrical / Electronics Engineering,No formal certification,"PCB design tools, simulators","Circuit Design, Embedded Programming","Junior Engineer, Intern","Senior Engineer, Project Lead","Tech Companies, Manufacturing","IEEE Resources, Coursera Electronics",BSc/Electronics Engineering --> Internship --> Electronics Engineer --> Senior Engineer --> Project Lead,Engineering
Elementary Principal (Leads and manages an elementary school),"elementary, principal, education, leadership, management, communication, curriculum, schools, administration, teaching, supervision, planning, organization, staff, student support","Leadership, school administration, education",Bachelor? / Master? Education Admin,Principal Certification,School management software,"School Improvement Plan, Staff Coordination","Assistant Principal, Teacher","Principal, Superintendent","School Districts, Education Boards","NAESP Resources, Coursera School Leadership",BA/Education/Administration --> Internship --> Elementary Principal --> Senior Principal --> District Manager,Education
Elevator Inspector (Checks elevators for safety and compliance),"elevator, inspection, safety, engineering, maintenance, mechanical, building, compliance, regulations, technology, operations, repair, construction, equipment, testing","Safety inspections, mechanical knowledge, compliance",Vocational Training / Technical Diploma,No formal certification,"Inspection tools, reporting software","Inspection Report, Compliance Check","Inspector Trainee, Assistant","Inspector, Supervisor","Building Firms, Safety Agencies","OSHA Guidelines, Coursera Safety Inspection",Vocational Training --> Apprenticeship --> Elevator Inspector --> Senior Inspector --> Manager,Construction & Inspection
Embryologist (Studies and works with embryos),"embryology, biology, medicine, research, reproduction, genetics, science, clinical, healthcare, development, anatomy, laboratory, fertility, biology, medical","Reproductive biology, lab techniques, research",Master? Biology / Medical Science,No formal certification,"Lab equipment, microscopes","Embryo Analysis, Sample Preparation","Lab Assistant, Intern","Embryologist, Research Scientist","IVF Clinics, Research Labs","ESHRE Resources, Coursera Embryology",BSc/Biology/Medicine --> Internship --> Embryologist --> Senior Embryologist --> Lab Director,Healthcare
Emergency Management Director (Prepares for and responds to disasters),"emergency, management, leadership, planning, response, disaster, safety, coordination, public service, crisis, communication, risk, training, healthcare, environment","Crisis management, public safety, coordination",Bachelor? Emergency Management,Certified Emergency Manager (CEM),"Communication systems, planning software","Emergency Plan, Drill Coordination","Assistant Director, Intern","Director, Emergency Manager","Govt Agencies, Hospitals","IAEM Resources, Coursera Emergency Management",BA/Public Administration --> Internship --> Emergency Management Director --> Senior Director --> Executive,Emergency Management
Emergency Room Nurse (Cares for patients in emergency situations),"emergency, room, nursing, healthcare, medicine, patient care, trauma, clinical, anatomy, treatment, monitoring, biology, communication, critical care, medical","Emergency nursing, critical care, patient support",Bachelor? Nursing,Certified Emergency Nurse (CEN),"Monitoring equipment, trauma kits","ER Case Study, Patient Monitoring","Registered Nurse, Intern","Emergency Nurse, Nurse Supervisor","Hospitals, Trauma Centers","ENA Resources, Coursera Emergency Nursing",Nursing Degree + Emergency Training --> Internship --> Emergency Room Nurse --> Senior Nurse --> Nurse Manager,Healthcare
Employment Specialist (Helps people find and keep jobs),"employment, specialist, career, job, counseling, placement, skills, communication, guidance, support, recruitment, training, assessment, workforce, development","Career counseling, job placement, coaching",Bachelor? Psychology / Social Work,No formal certification,"Career databases, coaching tools","Mock Interview, Job Plan","Assistant Specialist, Intern","Employment Specialist, Coach","Job Centers, NGOs","CareerOneStop, Coursera Career Coaching",BA/HR/Social Work --> Internship --> Employment Specialist --> Senior Specialist --> Manager,Human Resources
Endocrinologist (Treats hormone-related health problems),"endocrinology, medicine, biology, hormones, healthcare, diagnosis, treatment, clinical, patient care, anatomy, medical, research, health science, physiology, disease","Endocrinology, diagnostics, patient care",Medical Degree + Residency,Board Certification in Endocrinology,"Diagnostic tools, hormone assays","Patient Case Study, Diagnostic Practice","Medical Intern, Resident","Endocrinologist, Consultant","Hospitals, Clinics","AMA Resources, Coursera Endocrinology",Medical Degree + Specialization --> Residency --> Endocrinologist --> Senior Specialist --> Consultant,Healthcare
"Engraver (Carves designs into metal, wood, or glass)","engraving, art, design, craftsmanship, tools, creativity, manual skills, metalwork, carving, jewelry, precision, fabrication, decoration, manufacturing, detail","Engraving, precision, artistry",Vocational Training / Apprenticeship,No formal certification,"Engraving tools, CAD software","Engraving Sample, Design Project","Engraver Apprentice, Assistant","Senior Engraver, Shop Owner","Artisan Shops, Manufacturing","YouTube Engraving, Local Workshops",Vocational Training --> Apprenticeship --> Engraver --> Senior Engraver --> Studio Lead,Skilled Trades
Entertainer (Performs for audiences in shows or events),"entertainer, performance, arts, music, acting, dance, communication, creativity, stage, audience, media, entertainment, skills, showmanship, presentation","Performance, public speaking, entertainment skills",Vocational Training / Experience,No formal certification,"Stage equipment, audio systems","Performance Demo, Act Development","Entertainer Assistant, Intern","Entertainer, Performer","Entertainment Agencies, Events","MasterClass Performance, YouTube Acting",BA/Performing Arts --> Internship --> Entertainer --> Lead Performer --> Director,Entertainment & Media
Entomologist (Studies insects and their behavior),"entomology, biology, insects, research, environment, ecology, science, fieldwork, agriculture, pest control, biodiversity, zoology, biology, conservation, health","Insect biology, research, taxonomy",Bachelor? Biology / Entomology,No formal certification,"Lab tools, microscopes","Insect Collection, Species Identification","Research Assistant, Intern","Entomologist, Research Scientist","Research Labs, Universities","ESA Resources, Coursera Entomology",BSc/Biology/Entomology --> Internship --> Entomologist --> Senior Scientist --> Project Lead,Science
Environmental Health Specialist (Checks how environments affect health),"environmental, health, safety, regulations, public health, pollution, risk assessment, biology, chemistry, policy, community, compliance, monitoring, research, science","Environmental health, policy, risk assessment",Bachelor? Environmental Science / Public Health,Registered Environmental Health Specialist,"Monitoring devices, GIS","Health Risk Assessment, Pollution Survey","Technician Assistant, Intern","Environmental Health Specialist, Manager","Govt Agencies, NGOs","NEHA Resources, Coursera Environmental Health",BA/Environmental Health --> Internship --> Environmental Health Specialist --> Senior Specialist --> Manager,Public Health
Environmental Lawyer (Handles legal cases about the environment),"environmental, law, regulations, policy, advocacy, legal, compliance, conservation, government, environment, sustainability, justice, public health, law, science","Environmental law, policy, regulation",Bachelor? Law / Environmental Studies,Bar Admission (Law License),"Legal research databases, document management","Case Study, Environmental Report","Junior Lawyer, Intern","Environmental Lawyer, Partner","Law Firms, NGOs","ABA Environmental Law Section, Coursera Law",Law Degree --> Internship --> Environmental Lawyer --> Senior Lawyer --> Partner,Legal & Environmental
Environmental Planner (Plans projects to protect natural resources),"environmental, planning, urban, development, sustainability, policy, land use, community, design, management, ecology, government, geography, regulation, conservation","Land use planning, zoning, GIS, policy",Bachelor? Urban Planning / Environmental Science,No formal certification,"GIS software, planning tools","Land Use Plan, Community Survey","Planning Assistant, Intern","Environmental Planner, Senior Planner","Local Governments, Planning Firms","APA Resources, Coursera Urban Planning",BA/Urban Planning/Environmental Science --> Internship --> Environmental Planner --> Senior Planner --> Director,Urban & Environmental Planning
Equine Veterinarian (Cares for horses?health),"equine, veterinarian, animals, horses, healthcare, biology, treatment, diagnosis, clinical, veterinary, anatomy, surgery, animal care, medicine, health science","Veterinary medicine, equine care, surgery",DVM Degree,Equine Veterinary Certification,"Veterinary tools, diagnostic equipment","Animal Care Plan, Surgery Assistance","Vet Assistant, Intern","Equine Veterinarian, Specialist","Animal Hospitals, Equine Clinics","AVMA Resources, Coursera Veterinary Medicine",Veterinary Degree + Specialization --> Internship --> Equine Veterinarian --> Senior Vet --> Lead Vet,Animal Care
Ergonomist (Designs workspaces to be safe and comfortable),"ergonomics, health, safety, workplace, design, human factors, engineering, physiology, comfort, productivity, injury prevention, biomechanics, assessment, environment, science","Ergonomics, workplace health, design",Bachelor? Occupational Health / Ergonomics,No formal certification,"Ergonomic assessment tools, software","Workspace Evaluation, Report","Ergonomics Assistant, Intern","Ergonomist, Consultant","Corporates, Health Agencies","OSHA Resources, Coursera Ergonomics",BA/Ergonomics/Occupational Health --> Internship --> Ergonomist --> Senior Ergonomist --> Consultant,Occupational Health
Escrow Officer (Manages funds in real estate transactions),"escrow, officer, finance, real estate, legal, transactions, trust, documentation, compliance, banking, communication, contracts, business, management, customer service","Real estate law, escrow processes, finance",Bachelor? Business / Law,Escrow Officer License (varies),"Document management software, accounting tools","Transaction Review, Compliance Check","Escrow Assistant, Clerk","Escrow Officer, Manager","Real Estate Firms, Banks","ARELLO Resources, Coursera Real Estate",BA/Finance/Law --> Internship --> Escrow Officer --> Senior Officer --> Manager,Real Estate & Finance
Estimator (Calculates costs for projects or jobs),"estimator, construction, budgeting, cost, planning, engineering, materials, project management, finance, analysis, business, reporting, architecture, negotiation, calculation","Project budgeting, cost analysis, construction knowledge",Bachelor? Construction Management / Engineering,Certified Cost Estimator (AACE),"Estimating software, CAD tools","Project Budget Proposal, Bid Estimation","Estimator Assistant, Junior Estimator","Senior Estimator, Project Manager","Construction Firms, Contractors","AACE Resources, Coursera Estimating",BA/Construction/Engineering --> Internship --> Estimator --> Senior Estimator --> Manager,Construction & Trades
Ethicist (Studies right and wrong in human behavior),"ethics, philosophy, morality, law, decision making, social sciences, critical thinking, values, communication, education, policy, research, counseling, reasoning, debate","Ethics theory, moral philosophy, critical thinking",Bachelor? Philosophy / Ethics,No formal certification,"Research databases, writing tools","Case Study Analysis, Ethical Debate","Research Assistant, Intern","Ethicist, Policy Advisor","Universities, Think Tanks","Stanford Encyclopedia, Coursera Ethics",BA/Philosophy/Ethics --> Internship --> Ethicist --> Senior Ethicist --> Consultant,Ethics & Philosophy
Event Coordinator (Organizes details for events),"event, coordination, planning, management, organization, communication, hospitality, logistics, marketing, leadership, customer service, teamwork, scheduling, budgeting, venues","Event planning, coordination, communication",Bachelor? Hospitality Management / Communications,No formal certification,"Event management software, CRM","Event Plan, Vendor Coordination","Event Assistant, Coordinator","Event Manager, Director","Event Management Firms, Corporates","Eventbrite Resources, Coursera Event Planning",BA/Event Management --> Internship --> Event Coordinator --> Senior Coordinator --> Manager,Events & Hospitality
Event Decorator (Designs and sets up event decorations),"event, decoration, design, creativity, aesthetics, planning, coordination, floral, theme, arts, setup, communication, organization, venues, customer service","Design, creativity, decoration techniques",Vocational Training / Art Diploma,No formal certification,"Decorating tools, software","Event Theme Design, Decoration Setup","Decorator Assistant, Intern","Event Decorator, Designer","Event Management, Wedding Planning YouTube Decor Tutorials, Udemy",,BA/Event Planning/Design --> Internship --> Event Decorator --> Senior Decorator --> Manager,Events & Hospitality
Exhibit Designer (Creates displays for museums or shows),"exhibit, design, museum, art, communication, creativity, layout, display, history, education, planning, curation, presentation, research, culture","3D Design, spatial awareness, exhibit planning",Bachelor? Design / Architecture,No formal certification,"3D modeling software, CAD","Exhibit Layout, Display Design","Exhibit Assistant, Intern","Exhibit Designer, Curator","Museums, Exhibition Companies","Museum Exhibit Design Books, Coursera Design",BA/Fine Arts/Design --> Internship --> Exhibit Designer --> Senior Designer --> Curator,Arts & Design
Export Manager (Oversees selling products overseas),"export, management, international trade, logistics, business, shipping, compliance, finance, communication, customs, supply chain, marketing, planning, negotiation, documentation","International trade, logistics, management",Bachelor? Business / Supply Chain,No formal certification,"ERP software, trade compliance tools","Export Documentation, Market Analysis","Export Assistant, Coordinator","Export Manager, Logistics Director","Export Firms, Trading Companies","Export.gov, Coursera Supply Chain",BA/International Business/Trade --> Internship --> Export Manager --> Senior Manager --> Director,International Trade
Fabricator (Makes products from raw materials),"fabrication, manufacturing, welding, metalwork, construction, tools, machinery, assembly, engineering, repair, craftsmanship, industrial, production, manual skills, technical","Metalworking, fabrication skills, safety",Vocational Training / Apprenticeship,No formal certification,"Welding machines, metal tools","Basic Welding Project, Fabrication Task","Fabricator Apprentice, Assistant","Fabricator, Workshop Supervisor","Manufacturing Firms, Construction","YouTube Welding, Local Trade Schools",Vocational Training --> Apprenticeship --> Fabricator --> Senior Fabricator --> Supervisor,Manufacturing
Facilities Manager (Maintains buildings and equipment),"facilities, management, operations, maintenance, safety, building, administration, communication, planning, security, services, environment, staff, budgeting, logistics","Facility management, operations, budgeting",Bachelor? Business / Facilities Management,Facility Management Certification,"CMMS software, building automation","Facility Inspection, Maintenance Plan","Facility Coordinator, Assistant","Facilities Manager, Director","Corporates, Hospitals, Universities","IFMA Resources, Coursera Facilities Management",BA/Facilities Management --> Internship --> Facilities Manager --> Senior Manager --> Director,Facilities Management
Family Counselor (Helps families solve problems and improve relationships),"family, counseling, therapy, psychology, support, communication, social work, mental health, relationships, development, education, intervention, guidance, counseling skills, social services","Counseling, family therapy, communication",Master? Psychology / Counseling,Licensed Family Counselor,"Therapy tools, assessment software","Family Counseling Session, Case Study","Therapist Intern, Assistant","Family Counselor, Therapist","Clinics, Counseling Centers","ACA Resources, Coursera Family Therapy",BA/Psychology/Counseling --> Internship --> Family Counselor --> Senior Counselor --> Supervisor,Mental Health & Counseling
Family Nurse Practitioner (Provides health care for families),"family, nurse, practitioner, healthcare, nursing, medicine, patient care, clinical, anatomy, treatment, diagnosis, communication, biology, health science, primary care","Advanced nursing, diagnostics, patient care",Master? Nursing (MSN),FNP Certification,"Medical devices, EHR systems","Patient Care Plan, Diagnostic Practice","Nurse Practitioner Intern, RN","Family Nurse Practitioner, Specialist","Hospitals, Clinics","ANCC, Coursera Nurse Practitioner",Nursing Degree --> Licensing --> Family Nurse Practitioner --> Senior Practitioner --> Clinic Manager,Healthcare
Farm Manager (Oversees farm operations and production),"farm, management, agriculture, crops, livestock, business, planning, environment, machinery, economics, sustainability, soil science, horticulture, animal care, marketing","Agricultural science, management, economics",Bachelor? Agriculture / Agribusiness,No formal certification,"Farm management software, machinery","Small Farm Plan, Crop Management","Farm Assistant, Trainee","Farm Manager, Agribusiness Consultant","Farms, Agribusiness Companies","FAO Resources, Coursera Agriculture",BA/Agriculture/Management --> Internship --> Farm Manager --> Senior Manager --> Owner,Agriculture
Fashion Buyer (Chooses clothing for stores to sell),"fashion, buying, retail, marketing, trends, sales, merchandising, communication, business, customer service, inventory, analysis, design, planning, negotiation","Fashion trends, buying, market analysis",Bachelor? Fashion Merchandising / Business,No formal certification,"Retail software, trend analysis tools","Buying Plan, Market Research","Fashion Buyer Assistant, Intern","Fashion Buyer, Merchandiser","Fashion Retailers, Brands","Business of Fashion, Coursera Fashion Buying",BA/Fashion/Marketing --> Internship --> Fashion Buyer --> Senior Buyer --> Director,Fashion & Retail
Fashion Illustrator (Draws clothing designs),"fashion, illustration, art, design, creativity, drawing, digital, graphics, clothing, textiles, media, visual arts, communication, advertising, marketing","Fashion illustration, drawing skills, design software",Diploma / Degree Fashion Design,No formal certification,"Adobe Illustrator, drawing tablets","Fashion Sketches, Design Portfolio","Assistant Illustrator, Intern","Fashion Illustrator, Designer","Fashion Houses, Design Studios","YouTube Fashion Illustration, Udemy",BA/Fine Arts/Illustration --> Internship --> Fashion Illustrator --> Senior Illustrator --> Art Director,Arts & Design
FBI Agent (Investigates federal crimes),"fbi, agent, law enforcement, investigation, security, criminal justice, surveillance, communication, analysis, crime, evidence, legal, operations, risk, public safety","Investigation, law enforcement, communication",Bachelor? Criminal Justice,Law Enforcement Training,"FBI databases, case management software","Case Study, Surveillance Report","Agent Trainee, Intern","FBI Agent, Special Agent","FBI, Federal Law Enforcement Agencies","FBI Academy, Coursera Criminal Justice",BA/Criminal Justice/Law Enforcement --> Training --> FBI Agent --> Senior Agent --> Supervisor,Law Enforcement
Federal Marshal (Enforces laws and protects the courts),"federal, marshal, law enforcement, security, investigation, court, protection, justice, federal, communication, enforcement, safety, arrest, surveillance, public service","Law enforcement, security, firearms training",Training Academy / Military,Federal Marshal Certification,"Tracking systems, firearms","Patrol Simulation, Security Report","Federal Marshal Trainee, Deputy","Federal Marshal, Supervisor","Federal Agencies, DOJ",Federal Law Enforcement Training Center,Law Enforcement Training --> Entry Role --> Federal Marshal --> Senior Marshal --> Supervisor,Law Enforcement
Fencing Coach (Teaches fencing techniques and skills),"fencing, coaching, sports, training, physical education, technique, competition, skills, discipline, fitness, instruction, teamwork, strategy, coaching, athletic","Fencing techniques, coaching, physical training",Vocational Training / Certification,Fencing Coach Certification,"Sports equipment, training facilities","Coaching Session, Practice Plan","Coach Assistant, Intern","Fencing Coach, Head Coach","Sports Clubs, Schools","US Fencing Association, YouTube Fencing Coaching",Vocational Training --> Apprenticeship --> Fencing Coach --> Senior Coach --> Manager,Sports & Fitness
Ferry Operator (Drives boats that carry passengers or vehicles),"ferry, operator, transportation, maritime, navigation, safety, communication, logistics, public service, operations, customer service, vehicles, environment, travel, crew","Navigation, vessel operation, safety protocols",Vocational Training / Maritime School,Boat Operator License,"Navigation tools, radio systems","Ferry Route Planning, Safety Drill","Ferry Operator Trainee, Assistant","Ferry Captain, Supervisor","Maritime Companies, Ferry Operators","USCG Resources, Maritime Academy",Certification/Maritime --> Training --> Ferry Operator --> Senior Operator --> Manager,Transportation
Film Director (Leads creative work on movies),"film, directing, media, production, creativity, storytelling, leadership, cinematography, communication, entertainment, arts, management, scripting, editing, teamwork","Film production, directing, storytelling",Diploma / Degree Film Studies,No formal certification,"Cameras, editing software","Short Film Project, Scriptwriting","Assistant Director, Intern","Film Director, Producer","Film Studios, Media Companies","MasterClass, No Film School",BA/Film/Media --> Internship --> Film Director --> Senior Director --> Producer,Film & Media
Finance Manager (Manages a company? finances),"finance, management, business, budgeting, accounting, investment, planning, leadership, communication, analysis, banking, strategy, reporting, economics, risk","Financial management, budgeting, leadership",Bachelor? Finance / Business,MBA or CPA Preferred,"Accounting software, ERP","Financial Report, Budget Plan","Finance Analyst, Assistant","Finance Manager, CFO","Corporates, Banks","Investopedia, Coursera Finance",BA/Finance/Business --> Internship --> Finance Manager --> Senior Manager --> Director,Finance
Financial Examiner (Checks financial records for accuracy and compliance),"financial, examiner, auditing, banking, compliance, finance, risk, analysis, regulation, accounting, investigation, reporting, business, law, management","Financial analysis, regulatory compliance, auditing",Bachelor? Finance / Accounting,"CPA, CFA","Financial databases, auditing tools","Financial Statement Analysis, Audit Report","Financial Examiner Assistant, Intern","Financial Examiner, Auditor","Financial Institutions, Govt Agencies","CPA Resources, Coursera Financial Analysis",BA/Accounting/Finance --> Internship --> Financial Examiner --> Senior Examiner --> Manager,Finance & Compliance
Fingerprint Analyst (Studies fingerprints to solve crimes),"fingerprint, analysis, forensics, crime, law enforcement, investigation, identification, evidence, biology, pattern recognition, police, science, technology, criminal justice, research","Fingerprint analysis, forensic science, detail orientation",Diploma / Degree Forensic Science,No formal certification,"AFIS systems, microscopes","Fingerprint Matching Project, Report","Junior Analyst, Intern","Fingerprint Analyst, Forensic Specialist","Police Departments, Forensics Labs","FBI Forensics, Coursera Forensic Science",BA/Forensics/Criminal Justice --> Training --> Fingerprint Analyst --> Senior Analyst --> Supervisor,Law Enforcement
Fire Inspector (Ensures buildings follow fire safety rules),"fire, inspection, safety, regulation, building, prevention, compliance, risk, emergency, engineering, construction, hazards, investigation, environment, public safety","Fire safety, inspection, building codes",Bachelor? Fire Science / Safety,Fire Inspector Certification,"Inspection tools, reporting software","Fire Safety Audit, Report","Fire Inspector Trainee, Assistant","Fire Inspector, Safety Manager","Fire Departments, Safety Agencies","National Fire Academy, Coursera Fire Safety",Vocational Training --> Apprenticeship --> Fire Inspector --> Senior Inspector --> Manager,Fire Safety
Fire Marshal (Investigates fires and enforces fire regulations),"fire, marshal, safety, prevention, emergency, law enforcement, investigation, regulation, compliance, communication, fire science, public safety, risk, enforcement, training","Firefighting, emergency response, safety protocols",Training Academy,Fire Marshal Certification,"Firefighting equipment, communication radios","Fire Drill Coordination, Safety Plan","Firefighter, Trainee","Fire Marshal, Fire Chief","Fire Departments, Municipalities","USFA Resources, Firefighting Courses",Fire Service Training --> Certification --> Fire Marshal --> Senior Marshal --> Director,Law Enforcement
Fish and Game Warden (Protects wildlife and enforces hunting laws),"fish, game, warden, wildlife, conservation, law enforcement, environment, biology, habitat, regulation, public safety, ecology, protection, patrol, outdoor","Wildlife law enforcement, conservation, patrol",Bachelor? Environmental Science / Criminal Justice,Wildlife Warden License,"Tracking devices, radios","Wildlife Patrol, Habitat Survey","Wildlife Officer Trainee, Assistant","Fish and Game Warden, Supervisor","Wildlife Agencies, Parks","Wildlife Society Resources, Coursera Conservation",BA/Environmental Science/Wildlife --> Internship --> Fish and Game Warden --> Senior Warden --> Manager,Environmental Law Enforcement
Flight Dispatcher (Plans flights and keeps pilots informed),"flight, dispatcher, aviation, operations, communication, scheduling, safety, logistics, air traffic, management, coordination, transportation, planning, technology, control","Flight operations, logistics, communication",Diploma / Degree Aviation Management,Flight Dispatcher Certification,"Flight planning software, radios","Flight Plan Preparation, Communication Drill","Dispatcher Trainee, Assistant","Flight Dispatcher, Operations Manager","Airlines, Airports","FAA Resources, Aviation Courses",Certification/Aviation --> Training --> Flight Dispatcher --> Senior Dispatcher --> Manager,Aviation & Transportation
Floral Designer (Creates flower arrangements),"floral, design, creativity, flowers, art, decoration, arrangement, events, aesthetics, customer service, business, horticulture, color theory, design, presentation","Floral design, creativity, event decoration",Vocational Training / Certification,No formal certification,"Floral tools, design software","Floral Arrangement, Event Setup","Floral Assistant, Intern","Floral Designer, Shop Manager","Florists, Event Companies","Floral Design Schools, YouTube Tutorials",BA/Design/Floral --> Internship --> Floral Designer --> Senior Designer --> Owner,Floral & Landscaping
